,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
0,OBJECT_DEVICE_505,NAE04
1,OBJECT_ANALOG_INPUT_3000127,NAE04/FC-1.NAE4-T1-FEC4.ZN25-T
2,OBJECT_ANALOG_INPUT_3000998,NAE04/FC-1.SF7-CP.ZN-T
3,OBJECT_ANALOG_INPUT_3001000,NAE04/FC-1.SF7-CP.Enwave Supply-T
4,OBJECT_ANALOG_INPUT_3001001,NAE04/FC-1.SF7-CP.Enwave-F
5,OBJECT_ANALOG_INPUT_3001002,NAE04/FC-1.SF7-CP.Enwave Return-T
6,OBJECT_ANALOG_INPUT_3001003,NAE04/FC-1.SF7-CP.Building Supply -T
7,OBJECT_ANALOG_INPUT_3001004,NAE04/FC-1.SF7-CP.Building Return-T
8,OBJECT_ANALOG_INPUT_3001030,NAE04/FC-1.EF-16.EF18Zn-T
9,OBJECT_ANALOG_INPUT_3001103,NAE04/FC-1.NAE4-T1-FEC4.ZN27-T
10,OBJECT_ANALOG_INPUT_3001230,NAE04/FC-1.NAE4-T1-FEC15.ZN-T
11,OBJECT_ANALOG_INPUT_3001262,NAE04/FC-1.FCU-1 Lobby South.RA1-T
12,OBJECT_ANALOG_INPUT_3001263,NAE04/FC-1.FCU-1 Lobby South.RA2-T
13,OBJECT_ANALOG_INPUT_3001283,NAE04/FC-1.SF04-CP.ZN-T
14,OBJECT_ANALOG_INPUT_3001316,NAE04/FC-1.FCU-23.RA-T
15,OBJECT_ANALOG_INPUT_3001333,NAE04/FC-1.FCU-22.RA-T
16,OBJECT_ANALOG_INPUT_3001551,NAE04/FC-1.FCU-1 East Lobby.RA1-T
17,OBJECT_ANALOG_INPUT_3001552,NAE04/FC-1.FCU-1 East Lobby.RA2-T
18,OBJECT_ANALOG_INPUT_3001559,NAE04/FC-1.test.RA1-T
19,OBJECT_ANALOG_INPUT_3001939,NAE04/FC-1.NAE4-T1-FEC53.ZN-T
20,OBJECT_ANALOG_INPUT_3001955,NAE04/FC-1.NAE4-T1-FEC55.ZN-T
21,OBJECT_ANALOG_INPUT_3001982,NAE04/FC-1.NAE4-T1-FEC54.ZN-T
22,OBJECT_ANALOG_OUTPUT_3001009,NAE04/FC-1.SF7-CP.HTG-O
23,OBJECT_ANALOG_OUTPUT_3001238,NAE04/FC-1.NAE4-T1-FEC15.HTG-O
24,OBJECT_ANALOG_OUTPUT_3001265,NAE04/FC-1.FCU-1 Lobby South.HTG1-O
25,OBJECT_ANALOG_OUTPUT_3001266,NAE04/FC-1.FCU-1 Lobby South.HTG2-O
26,OBJECT_ANALOG_OUTPUT_3001289,NAE04/FC-1.SF04-CP.Valve-O
27,OBJECT_ANALOG_OUTPUT_3001554,NAE04/FC-1.FCU-1 East Lobby.HTG1-O
28,OBJECT_ANALOG_OUTPUT_3001555,NAE04/FC-1.FCU-1 East Lobby.HTG2-O
29,OBJECT_ANALOG_OUTPUT_3001561,NAE04/FC-1.test.HTG-O
30,OBJECT_ANALOG_OUTPUT_3001929,NAE04/FC-1.NAE4-T1-FEC52.CLG-O
31,OBJECT_ANALOG_OUTPUT_3001944,NAE04/FC-1.NAE4-T1-FEC53.CLG-O
32,OBJECT_ANALOG_OUTPUT_3001960,NAE04/FC-1.NAE4-T1-FEC55.CLG-O
33,OBJECT_ANALOG_OUTPUT_3001987,NAE04/FC-1.NAE4-T1-FEC54.CLG-O
34,OBJECT_ANALOG_VALUE_3001006,NAE04/FC-1.SF7-CP.Min On Timer
35,OBJECT_ANALOG_VALUE_3001008,NAE04/FC-1.SF7-CP.ZNT-SP
36,OBJECT_ANALOG_VALUE_3001110,NAE04/FC-1.FCU-15.AV-7
37,OBJECT_ANALOG_VALUE_3001111,NAE04/FC-1.FCU-15.AV-44
38,OBJECT_ANALOG_VALUE_3001112,NAE04/FC-1.FCU-15.AV-40
39,OBJECT_ANALOG_VALUE_3001113,NAE04/FC-1.FCU-15.AV-59
40,OBJECT_ANALOG_VALUE_3001170,NAE04/FC-1.FCU-26.AV-7
41,OBJECT_ANALOG_VALUE_3001171,NAE04/FC-1.FCU-26.AV-22
42,OBJECT_ANALOG_VALUE_3001172,NAE04/FC-1.FCU-26.AV-44
43,OBJECT_ANALOG_VALUE_3001173,NAE04/FC-1.FCU-26.AV-43
44,OBJECT_ANALOG_VALUE_3001174,NAE04/FC-1.FCU-26.AV-42
45,OBJECT_ANALOG_VALUE_3001175,NAE04/FC-1.FCU-18.AV-7
46,OBJECT_ANALOG_VALUE_3001176,NAE04/FC-1.FCU-18.AV-22
47,OBJECT_ANALOG_VALUE_3001177,NAE04/FC-1.FCU-18.AV-21
48,OBJECT_ANALOG_VALUE_3001178,NAE04/FC-1.FCU-18.AV-44
49,OBJECT_ANALOG_VALUE_3001179,NAE04/FC-1.FCU-18.AV-43
50,OBJECT_ANALOG_VALUE_3001180,NAE04/FC-1.FCU-18.AV-42
51,OBJECT_ANALOG_VALUE_3001181,NAE04/FC-1.FCU-18.AV-41
52,OBJECT_ANALOG_VALUE_3001186,NAE04/FC-1.FCU-16.AV-7
53,OBJECT_ANALOG_VALUE_3001187,NAE04/FC-1.FCU-16.AV-22
54,OBJECT_ANALOG_VALUE_3001188,NAE04/FC-1.FCU-16.AV-44
55,OBJECT_ANALOG_VALUE_3001189,NAE04/FC-1.FCU-16.AV-43
56,OBJECT_ANALOG_VALUE_3001190,NAE04/FC-1.FCU-16.AV-42
57,OBJECT_ANALOG_VALUE_3001191,NAE04/FC-1.FCU-17.AV-7
58,OBJECT_ANALOG_VALUE_3001192,NAE04/FC-1.FCU-17.AV-22
59,OBJECT_ANALOG_VALUE_3001193,NAE04/FC-1.FCU-17.AV-21
60,OBJECT_ANALOG_VALUE_3001194,NAE04/FC-1.FCU-17.AV-44
61,OBJECT_ANALOG_VALUE_3001195,NAE04/FC-1.FCU-17.AV-43
62,OBJECT_ANALOG_VALUE_3001196,NAE04/FC-1.FCU-17.AV-42
63,OBJECT_ANALOG_VALUE_3001197,NAE04/FC-1.FCU-17.AV-41
64,OBJECT_ANALOG_VALUE_3001198,NAE04/FC-1.FCU-17.AV-40
65,OBJECT_ANALOG_VALUE_3001199,NAE04/FC-1.FCU-17.AV-39
66,OBJECT_ANALOG_VALUE_3001202,NAE04/FC-1.FCU-18.AV-40
67,OBJECT_ANALOG_VALUE_3001203,NAE04/FC-1.FCU-18.AV-39
68,OBJECT_ANALOG_VALUE_3001211,NAE04/FC-1.FCU-12.AV-7
69,OBJECT_ANALOG_VALUE_3001212,NAE04/FC-1.FCU-12.AV-22
70,OBJECT_ANALOG_VALUE_3001213,NAE04/FC-1.FCU-12.AV-44
71,OBJECT_ANALOG_VALUE_3001214,NAE04/FC-1.FCU-12.AV-42
72,OBJECT_ANALOG_VALUE_3001215,NAE04/FC-1.FCU-12.AV-40
73,OBJECT_ANALOG_VALUE_3001218,NAE04/FC-1.FCU-15.AV-42
74,OBJECT_ANALOG_VALUE_3001235,NAE04/FC-1.NAE4-T1-FEC15.Min On Timer
75,OBJECT_ANALOG_VALUE_3001237,NAE04/FC-1.NAE4-T1-FEC15.ZNT-SP
76,OBJECT_ANALOG_VALUE_3001261,NAE04/FC-1.FCU-1 Lobby South.Return Air Setpoint
77,OBJECT_ANALOG_VALUE_3001287,NAE04/FC-1.SF04-CP.Min On Timer
78,OBJECT_ANALOG_VALUE_3001288,NAE04/FC-1.SF04-CP.ZNT-SP
79,OBJECT_ANALOG_VALUE_3001313,NAE04/FC-1.FCU-23.OA-T
80,OBJECT_ANALOG_VALUE_3001330,NAE04/FC-1.FCU-22.OA-T
