,Unnamed: 0.1,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION,label
0,0,OBJECT_DEVICE_502,MeSH_Boiler'NAE02\MeSH_Notification',15th floor mechanical room,ahus zone air temp effective sp
1,1,OBJECT_ANALOG_INPUT_3000019,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC30.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
2,2,OBJECT_ANALOG_INPUT_3000021,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC30.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
3,3,OBJECT_ANALOG_INPUT_3000037,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC31.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
4,4,OBJECT_ANALOG_INPUT_3000039,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC31.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
5,5,OBJECT_ANALOG_INPUT_3000055,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC32.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
6,6,OBJECT_ANALOG_INPUT_3000057,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC32.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
7,7,OBJECT_ANALOG_INPUT_3000073,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC33.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
8,8,OBJECT_ANALOG_INPUT_3000075,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC33.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
9,9,OBJECT_ANALOG_INPUT_3000091,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC34.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
