,Unnamed: 0,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,0,OBJECT_DEVICE_505,MeSH_Boiler'NAE06\MeSH_Notification',P2 utility room
1,1,OBJECT_ANALOG_INPUT_3000127,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.FLOOR-P1\MeSH_Notification'",Zone2 Temperature
2,2,OBJECT_ANALOG_INPUT_3000998,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.FLOOR-P2\MeSH_Notification'",Zone Temperature
3,3,OBJECT_ANALOG_INPUT_3001000,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2A\MeSH_Notification'",Miscellaneous Temperature
4,4,OBJECT_ANALOG_INPUT_3001001,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2B\MeSH_Notification'",Miscellaneous Flow
5,5,OBJECT_ANALOG_INPUT_3001002,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2C\MeSH_Notification'",Miscellaneous Temperature
6,6,OBJECT_ANALOG_INPUT_3001003,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2D\MeSH_Notification'",Miscellaneous Temperature
7,7,OBJECT_ANALOG_INPUT_3001004,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2E\MeSH_Notification'",Miscellaneous Temperature
8,8,OBJECT_ANALOG_INPUT_3001030,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_local network source MAC layer address-MeSH_Temperature\MeSH_Notification'",Zone Temperature
9,9,OBJECT_ANALOG_INPUT_3001103,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN1-MeSH_Temperature\MeSH_Notification'",Zone Temperature
10,10,OBJECT_ANALOG_INPUT_3001230,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN2-MeSH_Temperature\MeSH_Notification'",Zone Temperature
11,11,OBJECT_ANALOG_INPUT_3001262,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN3-MeSH_Temperature\MeSH_Notification'",Duct 1 Temperature
12,12,OBJECT_ANALOG_INPUT_3001263,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN4-MeSH_Temperature\MeSH_Notification'",Duct 2 Temperature
13,13,OBJECT_ANALOG_INPUT_3001283,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Outdoor Air-MeSH_Flow Rate, Volumetric\MeSH_Notification'",Zone Temperature
14,14,OBJECT_ANALOG_INPUT_3001316,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC58.ZN2-MeSH_Temperature\MeSH_Notification'",Return Air Temperature
15,15,OBJECT_ANALOG_INPUT_3001333,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC58.ZN1-MeSH_Temperature\MeSH_Notification'",Return Air Temperature
16,16,OBJECT_ANALOG_INPUT_3001551,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC59.ZN2-MeSH_Temperature\MeSH_Notification'",Duct 1 Temperature
