,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
0,OBJECT_DEVICE_507,NAE06
1,OBJECT_ANALOG_INPUT_3000011,NAE06/FC-1.NAE6-T1-FEC57.FLOOR-P1
2,OBJECT_ANALOG_INPUT_3000014,NAE06/FC-1.NAE6-T1-FEC57.FLOOR-P2
3,OBJECT_ANALOG_INPUT_3000025,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2A
4,OBJECT_ANALOG_INPUT_3000026,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2B
5,OBJECT_ANALOG_INPUT_3000027,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2C
6,OBJECT_ANALOG_INPUT_3000028,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2D
7,OBJECT_ANALOG_INPUT_3000029,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2E
8,OBJECT_ANALOG_INPUT_3000031,NAE06/FC-1.NAE6-T1-FEC57.SA-T
9,OBJECT_ANALOG_INPUT_3000034,NAE06/FC-1.NAE6-T1-FEC57.ZN1-T
10,OBJECT_ANALOG_INPUT_3000036,NAE06/FC-1.NAE6-T1-FEC57.ZN2-T
11,OBJECT_ANALOG_INPUT_3000038,NAE06/FC-1.NAE6-T1-FEC57.ZN3-T
12,OBJECT_ANALOG_INPUT_3000040,NAE06/FC-1.NAE6-T1-FEC57.ZN4-T
13,OBJECT_ANALOG_INPUT_3000047,NAE06/FC-1.NAE6-T1-FEC57.OA-F
14,OBJECT_ANALOG_INPUT_3000066,NAE06/FC-1.NAE6-T1-FEC58.ZN2-T
15,OBJECT_ANALOG_INPUT_3000068,NAE06/FC-1.NAE6-T1-FEC58.ZN1-T
16,OBJECT_ANALOG_INPUT_3000084,NAE06/FC-1.NAE6-T1-FEC59.ZN2-T
17,OBJECT_ANALOG_INPUT_3000086,NAE06/FC-1.NAE6-T1-FEC59.ZN1-T
18,OBJECT_ANALOG_INPUT_3000102,NAE06/FC-1.NAE6-T1-FEC60.ZN2-T
19,OBJECT_ANALOG_INPUT_3000104,NAE06/FC-1.NAE6-T1-FEC60.ZN1-T
20,OBJECT_ANALOG_INPUT_3000120,NAE06/FC-1.NAE6-T1-FEC61.ZN2-T
21,OBJECT_ANALOG_INPUT_3000122,NAE06/FC-1.NAE6-T1-FEC61.ZN1-T
22,OBJECT_ANALOG_INPUT_3000138,NAE06/FC-1.NAE6-T1-FEC62.ZN2-T
23,OBJECT_ANALOG_INPUT_3000140,NAE06/FC-1.NAE6-T1-FEC62.ZN1-T
24,OBJECT_ANALOG_INPUT_3000156,NAE06/FC-1.NAE6-T1-FEC63.ZN2-T
25,OBJECT_ANALOG_INPUT_3000158,NAE06/FC-1.NAE6-T1-FEC63.ZN1-T
26,OBJECT_ANALOG_INPUT_3000174,NAE06/FC-1.NAE6-T1-FEC64.ZN2-T
